Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),ENGL 111 N,COMPOSITION: LIT,"JANOSIK, JEFFREY MARK",22,4,11,7,,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 O,COMPOSITION: LIT,"DAY, LEANNE P",23,2,11,9,,,,,,,,,,1,3.5
2015-16,20154 (Autumn 2015),ENGL 111 P,COMPOSITION: LIT,"ROBERTS, DANIELLE E",23,11,11,,,,,,,,,,,1,3.8
2015-16,20154 (Autumn 2015),ENGL 111 Q,COMPOSITION: LIT,"BOURBONNAIS, ALISSA S",23,22,,,,,,,,,,,,1,4
2015-16,20154 (Autumn 2015),ENGL 111 R,COMPOSITION: LIT,"CHARTUDOMDEJ, SANI",23,5,16,1,1,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 111 S,COMPOSITION: LIT,"SMITH, ALEXANDRA V.",21,6,9,6,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 111 T,COMPOSITION: LIT,"TAVLIN, ZACHARY N",23,4,12,4,1,,,1,,,,,1,,3.4
2015-16,20154 (Autumn 2015),ENGL 111 U,COMPOSITION: LIT,"WIRTH, JAMES B.",22,3,11,7,1,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 111 V,COMPOSITION: LIT,"HARDISON, BRIAN CHRISTOPHER",22,1,11,5,2,,,2,,,,,1,,3.2
2015-16,20154 (Autumn 2015),ENGL 121 A,COMPOSTN: SOC ISSUE,"ROBERTSON, CAROL",23,13,10,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 121 D,COMPOSTN: SOC ISSUE,"SHELTON, HOLLY D",23,6,16,,,,,,,,,,1,,3.6
2015-16,20154 (Autumn 2015),ENGL 121 F,COMPOSTN: SOC ISSUE,"FAULKNER, SARAH E",23,8,10,1,2,1,,,,,,,1,,3.5
2015-16,20154 (Autumn 2015),ENGL 121 G,COMPOSTN: SOC ISSUE,"DEROSA, JAMES BROOKS",23,10,12,1,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 131 A,COMPOSITN: EXPOSITN,"GOLD, AYA",23,9,11,,,,,,,,,,3,,3.3
2015-16,20154 (Autumn 2015),ENGL 131 A1,COMPOSITN: EXPOSITN,"LOUIE, CAMERON",23,13,7,1,2,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),ENGL 131 A2,COMPOSITN: EXPOSITN,"HOLMES, JESSICA MICHELLE",23,10,6,5,,,1,1,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 131 A3,COMPOSITN: EXPOSITN,"DAUD, SUMAYYAH",23,8,15,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),ENGL 131 A4,COMPOSITN: EXPOSITN,"DE LA ROCHA, DAVID N",23,7,10,4,1,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),ENGL 131 A6,COMPOSITN: EXPOSITN,"PETERSON, SHANE",23,2,13,5,1,2,,,,,,,,,3.4
